NAME	Sample	GenesExpressed	HousekeepingGeneExpression	Type	Cellcycle	OPC-variable	OC-like	AC-like	OPC-like
TYPE	group	numeric	numeric	group	numeric	numeric	numeric	numeric	numeric
BCH1126-P01-A01	BCH1126	4064	6.371650316	Malignant	-0.44186567	-1.018729626	-0.511928109	-0.523686956	0.83940171
BCH1126-P01-A02	BCH1126	5162	6.363841855	Malignant	-0.490522093	-0.938585898	-0.018924871	-1.02391073	0.400311983
BCH1126-P01-A04	BCH1126	3583	4.623983418	Malignant	0.319448462	-0.870724574	0.327553519	0.303905206	-0.314469209
BCH1126-P01-A07	BCH1126	4743	6.131107408	Malignant	-0.747714419	-0.444016923	-0.461922304	-0.421771418	1.11865115
BCH1126-P01-A08	BCH1126	4015	5.803742692	Malignant	-0.219426632	-0.074824661	0.304706623	0.184920455	1.718093353
BCH1126-P01-A09	BCH1126	5742	6.430943464	Malignant	-0.577234556	-1.3868627	0.329421293	-0.88265844	-0.013435158
BCH1126-P01-B01	BCH1126	3044	4.32654854	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-B03	BCH1126	4889	6.075816313	Malignant	-0.46423596	-0.118795718	0.257534493	-0.387274608	1.493154986
BCH1126-P01-B04	BCH1126	5565	6.054379026	Malignant	-0.629568899	-0.893449316	0.894925577	-1.70173949	0.228877493
BCH1126-P01-B05	BCH1126	5253	5.809870501	Malignant	-0.482456989	0.491212127	1.839374009	-1.005291514	0.526729719
BCH1126-P01-B06	BCH1126	4340	4.789038484	Immune cell	NA	NA	NA	NA	NA
BCH1126-P01-B08	BCH1126	5103	5.954073453	Malignant	0.659743418	-1.329680647	0.670249948	-1.059536128	-1.078659584
BCH1126-P01-B10	BCH1126	5160	6.298778136	Malignant	-0.561964761	-0.457817453	0.166938089	-0.390890341	-0.130400865
BCH1126-P01-B11	BCH1126	4056	5.854249581	Malignant	-0.334987396	-0.202954807	-0.523591532	2.18407916	0.813369308
BCH1126-P01-C01	BCH1126	4446	6.530699568	Malignant	-0.377260563	-1.357491491	-0.193621779	-0.536278339	0.890504904
BCH1126-P01-C02	BCH1126	4825	6.135115566	Malignant	-0.706243311	-0.695943719	-0.701559903	-0.771469681	0.655226395
BCH1126-P01-C03	BCH1126	4658	5.951449516	Malignant	-0.095498082	-0.130833422	-0.023298067	-0.393487178	0.693253422
